,year,price,transmission,mileage,tax,mpg,engineSize
493,2016,21995,1,28526,160.0,50.4,2.0
494,2017,22995,0,14068,145.0,54.3,2.0
495,2018,18990,0,6321,145.0,50.4,2.0
496,2018,40990,1,4440,145.0,37.7,3.0
497,2019,23995,0,2085,145.0,51.4,1.6
498,2019,37995,1,2712,145.0,38.2,2.0
499,2019,33410,1,3968,145.0,47.9,2.0
500,2019,22997,0,6921,145.0,47.1,1.0
501,2015,14995,0,50062,30.0,57.6,1.2
502,2015,11995,0,31500,30.0,57.6,1.4
503,2015,12995,0,21807,30.0,57.6,1.4
504,2019,27990,1,7215,145.0,46.3,2.0
505,2019,29990,1,5397,145.0,50.4,2.0
506,2019,23377,0,4963,145.0,42.8,1.5
507,2017,25995,0,13688,200.0,40.4,2.0
508,2017,18995,1,19735,30.0,57.6,1.4
509,2017,20995,1,22175,145.0,47.9,1.4
510,2018,23995,1,13907,145.0,49.6,1.4
511,2018,14495,0,20106,145.0,67.3,1.0
512,2018,30995,1,7891,145.0,40.9,2.0
513,2019,26490,1,4836,145.0,48.7,2.0
514,2019,34259,0,4587,145.0,37.2,2.0
515,2019,35131,0,5721,145.0,37.2,2.0
516,2019,50414,1,4236,145.0,33.2,3.0
517,2015,21995,1,18188,200.0,47.1,2.0
518,2016,16995,0,41497,125.0,57.6,2.0
519,2016,14995,0,13961,30.0,58.9,1.4
520,2019,30990,1,10852,145.0,47.9,2.0
521,2019,18490,0,10059,145.0,43.5,1.5
522,2019,18490,0,5985,145.0,43.5,1.5
523,2019,26490,1,6214,145.0,38.7,2.0
524,2019,59995,1,5089,145.0,30.1,2.9
525,2019,24995,0,2756,145.0,42.2,1.0
526,2019,29490,1,4982,145.0,47.9,2.0
527,2016,17495,1,41505,20.0,67.3,2.0
528,2017,20995,1,26494,145.0,47.9,1.4
529,2017,14495,0,23655,30.0,55.4,1.4
530,2019,58995,1,3382,145.0,30.1,2.9
531,2018,19995,0,17789,145.0,54.3,1.5
532,2019,33640,1,5023,145.0,47.9,2.0
533,2019,53939,1,6238,145.0,37.7,3.0
534,2019,30719,1,4520,145.0,39.8,2.0
535,2019,30197,1,5210,145.0,39.8,2.0
536,2019,27022,1,3256,145.0,40.4,2.0
537,2019,37560,1,5201,145.0,44.1,2.0
538,2019,49990,1,28,145.0,33.6,3.0
539,2017,12495,0,25747,0.0,67.3,1.0
540,2017,14995,0,27000,145.0,55.4,1.4
541,2016,24490,1,51562,235.0,42.8,3.0
542,2016,13995,0,40030,0.0,83.1,1.6
543,2016,19495,1,43099,145.0,56.5,2.0
544,2017,17995,0,18842,145.0,55.4,1.0
545,2016,19995,1,31894,30.0,64.2,3.0
546,2019,30728,1,5712,145.0,51.4,2.0
547,2015,18995,1,38540,125.0,58.9,2.0
548,2017,13995,0,25552,30.0,56.5,1.4
549,2015,18495,1,72283,145.0,54.3,3.0
550,2016,34995,1,22809,235.0,42.2,3.0
551,2017,19995,0,16103,145.0,65.7,2.0
552,2016,13495,0,23745,30.0,57.6,1.4
